//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB  EffectType     EffectSize   ColorSide
  6344        32077         47            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         24            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         31            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         40            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         8             0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         17            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         46            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         23            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         35            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         39            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         44            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         45            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         12            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         16            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         21            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         22            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         61            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         60            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         59            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         62            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         55            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         52            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         53            0             2.5     0.5     0.5     9.0         0.5         0.5
  6344        32077         54            0             2.5     0.5     0.5     9.0         0.5         0.5
end
