//===================================
// Item Smoke Effect Manager
// ----------------------------------
// Developer: Positive
// ----------------------------------
// Skype: jevgeny.positive
//===================================

// ----------------------------------
//	Index	Red	Green	Blue
// ----------------------------------
	0	1.00	0.80	0.00 
	1	1.00	0.00	0.00
	2	1.00	0.80	0.00 
	3	0.00	0.00	1.00  
	4	1.00	1.00	1.00
	5	0.80	0.70	0.00
	6	0.70	0.90	0.00
	7	1.00	0.80	0.00
	8	1.00	0.80	0.00
	9	0.00	0.00	1.00  
	10	1.00	0.80	0.00 
	11	0.70	0.50	0.10
	12	0.00	0.00	1.00  
	13	0.70	0.90	0.00
	14	1.00	1.00	1.00
	15	1.00	1.00	1.00
	16	0.50	0.50	0.50
	17	0.30	0.20	0.70  
	18	1.00	1.00	1.00
	19	1.00	0.00	0.50 
	20	0.30	0.20	0.70
	21	1.00	0.00	0.00 
	22	0.60	0.30	0.00
	23	0.30	0.20	0.70
	24	1.00	0.00	0.00 
	25	0.80	1.00	0.32  
	26	0.30	0.20	0.70
	27	1.00	1.00	1.00
	28	0.00	0.00	1.00
	29	0.50	0.20	0.00
	30	0.80	1.00	0.30
	31	0.70	0.90	0.00
	32	0.70	1.00	0.40
	33	1.00	0.80	0.00 
	34	0.70	0.50	0.10
	35	1.00	1.00	1.00
	36	0.70	0.90	0.10
	37	1.00	0.00	0.00 
	38	0.70	0.50	0.10
	39	0.70	0.90	0.00
	40	1.00	0.00	0.00
	41	0.30	0.20	0.70
	42	0.30	0.20	0.70
	43	1.00	0.00	0.50
	44	0.30	0.20	0.70
	45	0.00	0.00	1.00
	46	1.00	0.80	0.00
	47	0.30	0.20	0.70 
	48	1.00	0.00	0.00
	49	0.30	0.20	0.70
	50	0.70	0.90	0.00
	51	1.00	0.00	0.00 
	52	1.00	1.00	1.00
	53	0.30	0.20	0.70
	56	0.70	0.90	0.00
	59	1.00	0.00	0.00
	60	1.00	0.80	0.00
	61	0.50	0.20	0.00
	73	0.40	0.50	0.10
	130	1.00	0.00	0.00
	131	0.00	0.00	1.00
	132	0.10	0.10	0.10
	133	0.20	0.00	0.80
	134	1.00	1.00	1.00
	135	0.70	0.90	0.00
	136	1.00	1.00	1.00
end
